year_funded,province,district,municipality,barangay,project_name,status,projects,length_km,influence_area_ha,farmer_beneficiaries,latitude,longitude
2017,CAGAYAN,I,GATTARAN,CAPIDDIGAN,CONCRETING OF CAPIDDIGAN FMR,COMPLETED,1,0.342,93,70,18.028593000000001,121.750699
2017,CAGAYAN,I,GATTARAN,NAGATUTUAN,CONCRETING OF NAGATUTUAN FMR,COMPLETED,1,0.27,150,100,18.061933,121.66554499999999
2017,CAGAYAN,I,GATTARAN,TAGUMAY,CONCRETING OF TAGUMAY FMR,COMPLETED,1,0.27,135,90,18.029018000000001,121.699093
2017,CAGAYAN,I,GATTARAN,TAKIKI,CONCRETING OF TAKIKI FMR,COMPLETED,1,0.256,120,80,18.053104999999999,121.65656199999999
2017,CAGAYAN,I,GONZAGA,PATENG,CONCRETING OF LUSONG (PHASE II) PATENG FMR,COMPLETED,1,0.456,60,200,18.252582,121.991602
2017,CAGAYAN,II,ABULUG,"BAGU, ABULUG",CONCRETING OF BAGU FMR,COMPLETED,1,0.3285,50,50,18.437342999999998,121.47035099999999
2017,CAGAYAN,II,ABULUG,CALOG NORTE,CONCRETING OF CALOG NORTE FMR,COMPLETED,1,0.242,225,150,18.364595999999999,121.38704199999999
2017,CAGAYAN,II,ABULUG,"GUIDDAM, ABULUG",CONCRETING OF GUIDDAM FMR,COMPLETED,1,0.5,430,250,18.320402000000001,121.476761
2017,CAGAYAN,II,ABULUG,"MAQUIRE, ABULUG",CONCRETING OF NORTHERN CAGAYAN EXPRIMENT STATION ROAD NETWORK FMR,COMPLETED,1,0.333,43,20,18.347062000000001,121.447784
2017,CAGAYAN,II,ABULUG,SAN JULIAN,CONCRETING OF SAN JULIAN FMR,COMPLETED,1,0.31,100,50,18.450025,121.38747600000001
2017,CAGAYAN,II,ABULUG,"STA. FILOMENA, ABULUG",CONCRETING OF STA. FILOMENA FMR,COMPLETED,1,0.2135,160,115,18.427759000000002,121.46259999999999
2017,CAGAYAN,II,ALLACAPAN,"ALLIG VALLEY, ALLACAPAN",CONCRETING OF ALLIG VALLEY FMR,COMPLETED,1,0.2855,1000,500,18.165514000000002,121.49793
2017,CAGAYAN,II,BALLESTEROS,FUGU-PAYAGAN EAST,CONCRETING OF FUGU-PAYAGAN EAST FMR,COMPLETED,1,0.34,100,200,18.344345000000001,121.531346
2017,CAGAYAN,II,CALAYAN,CAMIGUIN,"CONCRETING OF BALATO BAT, CAMIGUIN FMR",COMPLETED,1,0.13,85,50,18.911995999999998,121.8699
2017,CAGAYAN,II,CALAYAN,MAGSIDEL,CONCRETING OF MAGSIDEL FMR,COMPLETED,1,0.1,30,100,19.27441,121.447078
2017,CAGAYAN,II,CLAVERIA,STA. MARIA-BILIBIGAO,CONCRETING OF STA. MARIA-BILIBIGAO FMR,COMPLETED,1,0.2605,210,250,18.583012,121.08519800000001
2017,CAGAYAN,II,LASAM,AGGUNETAN,CONCRETING OF AGGUNETAN (PHASE II) FMR,COMPLETED,1,0.3135,235,300,18.035475999999999,121.61814800000001
2017,CAGAYAN,II,LASAM,CABATACAN WEST,CONCRETING OF CABATACAN WEST FMR,COMPLETED,1,0.305,350,250,18.083725999999999,121.49588300000001
2017,CAGAYAN,II,LASAM,CALAPANGAN NORTE,CONCRETING OF CALAPANGAN NORTE FMR,COMPLETED,1,0.3,150,200,18.016362999999998,121.604615
2017,CAGAYAN,II,PAMPLONA,ABBANGKERUAN,CONCRETING OF ABBANGKERUAN FMR,COMPLETED,1,0.31,57,150,18.456329,121.349571
2017,CAGAYAN,II,PIAT,APAYAO,CONCRETING OF SITIO LABBENG- APAYAO FMR,COMPLETED,1,0.256,110,70,17.826084999999999,121.489137
2017,CAGAYAN,II,PIAT,BAUNG,CONCRETING OF CSU (PHASE II) BAUNG FMR,COMPLETED,1,0.66,110,50,17.791461000000002,121.50525
2017,CAGAYAN,II,PIAT,GUMARUENG,CONCRETING OF GUMARUENG FMR,COMPLETED,1,0.242,150,100,17.776247999999999,121.457685
2017,CAGAYAN,II,RIZAL,CAMBABANGAN-MANAUATAN-PASINGAN,CONCRETING OF CAMBABANGAN-MANAUATAN-PASINGAN FMR,COMPLETED,1,0.238,260,500,17.84601,121.367054
2017,CAGAYAN,III,AMULUNG,BACULUD-DADDA,CONCRETING OF BACULUD-DADDA FMR,COMPLETED,1,0.958,110,75,17.860167000000001,121.719876
2017,CAGAYAN,III,AMULUNG,CALAMAGUI,CONCRETING OF CALAMAGUI FMR,COMPLETED,1,0.213,270,200,17.844861999999999,121.729645
2017,CAGAYAN,III,AMULUNG,SAN JUAN,CONCRETING OF SAN JUAN FMR,COMPLETED,1,0.345,50,100,17.786875999999999,121.656706
2017,CAGAYAN,III,ENRILE,LIWAN SUR-LIWAN NORTE,CONCRETING OF LIWAN SUR-LIWAN NORTE (PHASE III) FMR,COMPLETED,1,0.573,185,120,17.528518999999999,121.636984
2017,CAGAYAN,III,IGUIG,SANTIAGO,CONCRETING OF SANTIAGO FMR,COMPLETED,1,0.274,175,120,17.737397000000001,121.747546
2017,CAGAYAN,III,PEÑABLANCA,BUYUN,CONCRETING OF BUYUN FMR,COMPLETED,1,0.34,90,700,17.721838000000002,121.865629
2017,CAGAYAN,III,PEÑABLANCA,LAPI,CONCRETING OF LAPI FMR,COMPLETED,1,0.204,70,100,17.715696000000001,121.896683
