prism_psa_region_code,prism_region,prism_psa_province_code,province,prism_psa_municipal_code,municipality,prism_rice_area_2026s1,prism_planted_sep_2025,prism_planted_oct_2025,prism_planted_nov_2025,prism_planted_dec_2025,prism_planted_jan_2026,prism_planted_feb_2026,prism_planted_mar_2026,prism_harvested_dec_2025,prism_harvested_jan_2026,prism_harvested_feb_2026,prism_harvested_mar_2026,prism_harvested_apr_2026,prism_harvested_may_2026,prism_harvested_jun_2026,prism_growth_reproductive_ha,prism_growth_ripening_ha,prism_growth_harvested_ha,prism_standing_crop_area,prism_upcoming_harvest_area,prism_harvest_progress_pct,prism_dominant_growth_phase,prism_yield_area_ha,prism_production_mt,prism_yield_mt_ha,prism_flooded_nonrice_ha,prism_flooded_vegetative_ha,prism_flooded_reproductive_ha,prism_flooded_ripening_ha,prism_flooded_harvested_ha,prism_flooded_standing_crop_ha,prism_flooded_rice_total_ha,prism_flooded_reproductive_ripening_ha,prism_flooded_standing_share_pct,prism_flooded_rice_share_pct,prism_expected_production_at_risk_mt,prism_flood_damage_priority_score,prism_flood_damage_priority_class,prism_damage_event,prism_source_date
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203102000,Angadanan,3217.04,0.00,0.00,144.16,1703.12,1293.80,56.36,19.60,0.00,0.00,80.40,1766.88,1237.44,112.72,19.60,19.60,186.56,3010.88,206.16,132.32,93.59,Harvested,3217.04,14692.77,4.57,1076.16,26.48,0.00,0.00,0.00,26.48,26.48,0.00,12.84,0.82,121.01,25.34,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203103000,Aurora,2075.72,0.28,0.36,60.00,761.52,1191.64,44.28,17.64,0.28,0.36,45.64,775.88,1150.72,85.20,17.64,17.64,207.28,1850.80,224.92,102.84,89.16,Harvested,2075.72,9875.47,4.76,516.64,8.52,0.32,0.00,0.00,8.84,8.84,0.32,3.93,0.43,42.08,9.65,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203104000,Benito Soliven,534.44,0.00,0.00,20.84,171.00,320.80,17.04,4.76,0.00,0.00,11.28,180.56,304.68,33.16,4.76,4.76,74.60,455.08,79.36,37.92,85.15,Harvested,534.44,2206.29,4.13,209.12,1.64,0.00,0.00,0.00,1.64,1.64,0.00,2.07,0.31,6.77,4.46,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203105000,Burgos,6069.88,0.00,0.00,313.72,3367.04,2316.60,47.88,24.64,0.00,0.00,129.00,3551.76,2212.04,152.44,24.64,24.64,563.68,5481.56,588.32,177.08,90.31,Harvested,6069.88,29941.75,4.93,1801.48,48.84,0.12,0.00,0.00,48.96,48.96,0.12,8.32,0.81,241.37,26.59,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203106000,Cabagan,1761.36,0.00,0.00,111.24,381.64,1075.80,152.72,39.96,0.00,0.00,29.52,463.36,908.80,319.72,39.96,39.96,528.52,1192.88,568.48,359.68,67.72,Harvested,1761.36,7611.05,4.32,1989.80,2.92,0.00,0.00,0.00,2.92,2.92,0.00,0.51,0.17,12.61,1.61,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203107000,Cabatuan,4739.56,0.00,0.00,343.12,2735.04,1564.64,61.16,35.60,0.00,0.00,191.68,2886.48,1518.92,106.88,35.60,35.60,210.88,4493.08,246.48,142.48,94.80,Harvested,4739.56,22576.18,4.76,1850.16,65.28,0.64,0.00,0.00,65.92,65.92,0.64,26.74,1.39,313.78,33.34,Moderate,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203108000,Cauayan City,10707.20,0.00,0.00,479.96,5804.44,4227.48,116.72,78.60,0.00,0.00,271.72,6012.68,4100.16,244.04,78.60,78.60,474.52,10154.08,553.12,322.64,94.83,Harvested,10707.20,51830.88,4.84,4494.12,120.20,0.28,0.00,0.00,120.48,120.48,0.28,21.78,1.13,583.12,44.42,Moderate,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203135000,Santiago City,8505.64,0.00,0.00,262.08,4351.28,3655.20,168.04,69.04,0.00,0.00,114.92,4498.44,3506.80,316.44,69.04,69.04,611.40,7825.20,680.44,385.48,92.00,Harvested,8505.64,40216.62,4.73,1971.08,68.56,0.48,0.00,0.00,69.04,69.04,0.48,10.15,0.81,326.56,33.96,Moderate,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203109000,Cordon,4788.68,0.00,0.00,48.32,2393.84,2238.88,78.76,28.88,0.00,0.00,28.56,2413.60,2130.68,186.96,28.88,28.88,310.80,4449.00,339.68,215.84,92.91,Harvested,4788.68,26080.78,5.45,910.16,17.52,0.08,0.00,0.00,17.60,17.60,0.08,5.18,0.37,95.92,13.97,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
PH0200000000,REGION II (CAGAYAN VALLEY),PH0203100000,Isabela,PH0203118000,Delfin Albano (Magsaysay),5754.36,0.00,0.00,755.96,1936.92,2607.60,360.68,93.20,0.00,0.00,206.80,2486.08,2407.28,561.00,93.20,93.20,961.72,4699.44,1054.92,654.20,81.67,Harvested,5754.36,25957.23,4.51,1785.80,30.04,0.08,0.00,0.00,30.12,30.12,0.08,2.86,0.52,135.84,11.78,Low,,"Tropical Cyclones Tino, Uwan, Verbena, Wilma, Ada, Basyang and Southwest Monsoon"
