source_file,sheet,province,district,municipality,year,program,activity,unit,physical_target,budget,length_km,allocation_method,source_note
cagayan_1.xlsx,RICE,Cagayan,I,Gonzaga,2027,Rice Program,Fertilizer Assistance - Ameliorants (solid),kilograms,,0.00,,remarks municipality split,ALCALA APARRI BAGGAO BUGUEY LAL-LO CAMALANIUGAN GATTARAN GONZAGA SANTA TERESITA SANTA ANA           
cagayan_1.xlsx,RICE,Cagayan,I,Aparri,2027,Rice Program,Fertilizer Assistance - Ameliorants (solid),kilograms,,0.00,,remarks municipality split,ALCALA APARRI BAGGAO BUGUEY LAL-LO CAMALANIUGAN GATTARAN GONZAGA SANTA TERESITA SANTA ANA           
cagayan_1.xlsx,RICE,Cagayan,I,Alcala,2027,Rice Program,Fertilizer Assistance - Ameliorants (solid),kilograms,,0.00,,remarks municipality split,ALCALA APARRI BAGGAO BUGUEY LAL-LO CAMALANIUGAN GATTARAN GONZAGA SANTA TERESITA SANTA ANA           
cagayan_1.xlsx,RICE,Cagayan,I,Buguey,2027,Rice Program,Fertilizer Assistance - Ameliorants (solid),kilograms,,0.00,,remarks municipality split,ALCALA APARRI BAGGAO BUGUEY LAL-LO CAMALANIUGAN GATTARAN GONZAGA SANTA TERESITA SANTA ANA           
cagayan_1.xlsx,RICE,Cagayan,I,Baggao,2027,Rice Program,Fertilizer Assistance - Ameliorants (solid),kilograms,,0.00,,remarks municipality split,ALCALA APARRI BAGGAO BUGUEY LAL-LO CAMALANIUGAN GATTARAN GONZAGA SANTA TERESITA SANTA ANA           
cagayan_1.xlsx,RICE,Cagayan,I,Lal-lo,2027,Rice Program,Fertilizer Assistance - Ameliorants (solid),kilograms,,0.00,,remarks municipality split,ALCALA APARRI BAGGAO BUGUEY LAL-LO CAMALANIUGAN GATTARAN GONZAGA SANTA TERESITA SANTA ANA           
cagayan_1.xlsx,RICE,Cagayan,I,,2025,Rice Program,Rice Program district/province total,,,300774.48,,district/province sheet total,No municipal breakdown extracted for this year; retained as district/province commodity total.
cagayan_1.xlsx,RICE,Cagayan,I,,2026,Rice Program,Rice Program district/province total,,,656165.77,,district/province sheet total,No municipal breakdown extracted for this year; retained as district/province commodity total.
cagayan_1.xlsx,CORN,Cagayan,1,Calayan,2027,Corn Program,OPV White Glutinous,kilograms,1000.00,75.00,,remarks municipality split,Calayan           
cagayan_1.xlsx,CORN,Cagayan,1,Calayan,2027,Corn Program,Inorganic Fertilizer,kilograms,5000.00,1000.00,,remarks municipality split,Calayan           
cagayan_1.xlsx,CORN,Cagayan,1,,2025,Corn Program,Corn Program district/province total,,,80512.75,,district/province sheet total,No municipal breakdown extracted for this year; retained as district/province commodity total.
cagayan_1.xlsx,CORN,Cagayan,1,,2026,Corn Program,Corn Program district/province total,,,116799.50,,district/province sheet total,No municipal breakdown extracted for this year; retained as district/province commodity total.
cagayan_1.xlsx,HVCDP,Cagayan,I,,2025,High Value Crops,High Value Crops district/province total,,,2415.25,,district/province sheet total,No municipal breakdown extracted for this year; retained as district/province commodity total.
cagayan_1.xlsx,HVCDP,Cagayan,I,,2026,High Value Crops,High Value Crops district/province total,,,3825.60,,district/province sheet total,No municipal breakdown extracted for this year; retained as district/province commodity total.
cagayan_1.xlsx,NUPAP,Cagayan,I,Pamplona,2027,NUPAP,Nursery,number,1.00,2180.00,,remarks municipality split,Pamplona           
cagayan_1.xlsx,NUPAP,Cagayan,I,,2025,NUPAP,NUPAP district/province total,,,3215.01,,district/province sheet total,No municipal breakdown extracted for this year; retained as district/province commodity total.
cagayan_1.xlsx,NUPAP,Cagayan,I,,2026,NUPAP,NUPAP district/province total,,,20.50,,district/province sheet total,No municipal breakdown extracted for this year; retained as district/province commodity total.
cagayan_1.xlsx,LIVESTOCK,Cagayan,I,,2025,LIVESTOCK,LIVESTOCK district/province total,,,46950.00,,district/province sheet total,No municipal breakdown extracted for this year; retained as district/province commodity total.
cagayan_1.xlsx,LIVESTOCK,Cagayan,I,,2026,LIVESTOCK,LIVESTOCK district/province total,,,4288.38,,district/province sheet total,No municipal breakdown extracted for this year; retained as district/province commodity total.
cagayan_1.xlsx,LIVESTOCK,Cagayan,I,,2027,LIVESTOCK,LIVESTOCK district/province total,,,4875.00,,district/province sheet total,No municipal breakdown extracted for this year; retained as district/province commodity total.
cagayan_1.xlsx,FMR,Cagayan,I,Alcala,2025,Farm-to-Market Roads,Concreting of Carallangan (Sitio Labbut) FMR,Carallangan,,15000.00,1.00,direct municipality row,Concreting of Carallangan (Sitio Labbut) FMR
cagayan_1.xlsx,FMR,Cagayan,I,Baggao,2025,Farm-to-Market Roads,Concreting of Brgy. Tallang FMR,Tallang,,15000.00,1.00,direct municipality row,Concreting of Brgy. Tallang FMR
cagayan_1.xlsx,FMR,Cagayan,I,Gattaran,2025,Farm-to-Market Roads,Construction of Brgy. Cabayu- Basao FMR,Cabayu and Basao,,15000.00,1.00,direct municipality row,Construction of Brgy. Cabayu- Basao FMR
cagayan_1.xlsx,FMR,Cagayan,I,Lal-lo,2025,Farm-to-Market Roads,Concreting of Fusina- Sta. Teresa FMR,Fusina and Sta. Teresa,,10000.00,0.67,direct municipality row,Concreting of Fusina- Sta. Teresa FMR
cagayan_1.xlsx,FMR,Cagayan,I,Lal-lo,2025,Farm-to-Market Roads,Concreting of Malanao- Logac FMR,Malanao and Logac,,10000.00,0.67,direct municipality row,Concreting of Malanao- Logac FMR
cagayan_1.xlsx,FMR,Cagayan,I,Santa Teresita,2025,Farm-to-Market Roads,Concreting of Buyun FMR ( Rambo Drive),Buyun,,10888.00,0.73,direct municipality row,Concreting of Buyun FMR ( Rambo Drive)
cagayan_1.xlsx,FMR,Cagayan,I,Aparri,2025,Farm-to-Market Roads,"Concreting of Zone 4 , Brgy. Toran FMR",Toran,,15000.00,1.00,direct municipality row,"Concreting of Zone 4 , Brgy. Toran FMR"
cagayan_1.xlsx,FMR,Cagayan,I,Alcala,2026,Farm-to-Market Roads,Concreting of Brgy. Alejon-Limon FMR,Alejon-Limon,,15000.00,1.00,direct municipality row,Concreting of Brgy. Alejon-Limon FMR
cagayan_1.xlsx,FMR,Cagayan,I,Baggao,2026,Farm-to-Market Roads,Concreting of Bagunot FMR,Bagunot,,15000.00,1.00,direct municipality row,Concreting of Bagunot FMR
cagayan_1.xlsx,FMR,Cagayan,I,Gattaran,2026,Farm-to-Market Roads,"Concreting of Newagac FMR,",Newagac,,15000.00,1.00,direct municipality row,"Concreting of Newagac FMR,"
cagayan_1.xlsx,FMR,Cagayan,I,Buguey,2026,Farm-to-Market Roads,Concreting of Pattao FMR,Pattao,,15000.00,1.00,direct municipality row,Concreting of Pattao FMR
cagayan_1.xlsx,FMR,Cagayan,I,Gonzaga,2026,Farm-to-Market Roads,Concreting of Ama-Ama FMR,San Jose,,15000.00,1.00,direct municipality row,Concreting of Ama-Ama FMR
cagayan_1.xlsx,FMR,Cagayan,I,Santa Teresita,2026,Farm-to-Market Roads,Concreting of Alucao-Simbiliana FMR,Alucao- Simbiliana,,15000.00,1.00,direct municipality row,Concreting of Alucao-Simbiliana FMR
