facility_id,facility_name,facility_type,province,district,municipality,barangay,latitude,longitude,status,capacity,service_area_ha,project_amount,year_granted,year_finished,year_constructed,source_layer,source_folder,remarks
IRR-KML-0854,PISOS_SPIS,PISOS,Cagayan,3rd District,Amulung,Baccit,17.8563560,121.6867780,Not specified in source,,4,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0546; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0855,PISOS_SPIS,PISOS,Cagayan,3rd District,Amulung,Dafungay,17.8502150,121.6716980,Not specified in source,,9.25,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0460; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0856,PISOS_SPIS,PISOS,Cagayan,3rd District,Amulung,Unag,17.8160060,121.7059160,Not specified in source,,5,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0427; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0857,PISOS_SPIS,PISOS,Cagayan,3rd District,Amulung,Annabuculan,17.8300530,121.6978770,Not specified in source,,3.0094,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0556; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0858,PISOS_SPIS,PISOS,Cagayan,3rd District,Amulung,Annafatan,17.8214180,121.6880420,Not specified in source,,1.95,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0547; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0859,PISOS_SPIS,PISOS,Cagayan,3rd District,Amulung,Balauini,17.7905850,121.6723330,Not specified in source,,6.5,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0551; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0860,PISOS_SPIS,PISOS,Cagayan,3rd District,Amulung,Casingsingan Sur,17.7776530,121.6626280,Not specified in source,,5.2,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0459; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0861,PISOS_SPIS,PISOS,Cagayan,3rd District,Amulung,Goran,17.7726400,121.6675220,Not specified in source,,4,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0545; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0862,PISOS_SPIS,PISOS,Cagayan,3rd District,Amulung,Babayuan,17.8189290,121.7243890,Not specified in source,,4.4,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0429; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0863,PISOS_SPIS,PISOS,Cagayan,3rd District,Amulung,Annafatan,17.8194560,121.6885180,Not specified in source,,5.3,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0425; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0864,PISOS_SPIS,PISOS,Cagayan,3rd District,Enrile,Liwan Norte,17.5549500,121.6396240,Not specified in source,,9,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0280; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0865,PISOS_SPIS,PISOS,Cagayan,3rd District,Enrile,San Antonio,17.5837110,121.6368740,Not specified in source,,6.5,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0437; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0866,PISOS_SPIS,PISOS,Cagayan,3rd District,Enrile,Villa Maria,17.5614490,121.7129250,Not specified in source,,4.5,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0443; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0867,PISOS_SPIS,PISOS,Cagayan,3rd District,Enrile,Centro,17.5701350,121.6998490,Not specified in source,,6,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0269; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0868,PISOS_SPIS,PISOS,Cagayan,3rd District,Enrile,Divisoria,17.5267180,121.7855320,Not specified in source,,5.7,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0276; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0869,PISOS_SPIS,PISOS,Cagayan,3rd District,Amulung,Alibago,17.8670540,121.7416230,Not specified in source,,4,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0454; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0870,PISOS_SPIS,PISOS,Cagayan,3rd District,Enrile,Maracurru,17.5661810,121.7562050,Not specified in source,,5.2,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0280; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0871,PISOS_SPIS,PISOS,Cagayan,3rd District,Enrile,Inga,17.5530860,121.7727510,Not specified in source,,3.5,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0275; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0872,PISOS_SPIS,PISOS,Cagayan,3rd District,Enrile,Divisoria,17.5246840,121.7865320,Not specified in source,,4.5,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0271; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0873,PISOS_SPIS,PISOS,Cagayan,3rd District,Enrile,Alibago,17.5791590,121.7385200,Not specified in source,,5.4096,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0394; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0874,PISOS_SPIS,PISOS,Cagayan,3rd District,Enrile,Magalalag East,17.5832780,121.7350530,Not specified in source,,7.4163,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0268; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0875,PISOS_SPIS,PISOS,Cagayan,3rd District,Enrile,Lanna,17.5656760,121.7222800,Not specified in source,,3,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0453; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0876,PISOS_SPIS,PISOS,Cagayan,3rd District,Enrile,Lanna,17.5813710,121.7080320,Not specified in source,,5.2,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0270; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0877,PISOS_SPIS,PISOS,Cagayan,3rd District,Enrile,Magalalag East,17.5665830,121.7370700,Not specified in source,,6.5,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0337; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0878,PISOS_SPIS,PISOS,Cagayan,3rd District,Enrile,Inga,17.5564860,121.7673810,Not specified in source,,5.32745,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0274; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0879,PISOS_SPIS,PISOS,Cagayan,3rd District,Enrile,Inga,17.5548020,121.7708840,Not specified in source,,4,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0442; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0880,PISOS_SPIS,PISOS,Cagayan,3rd District,Enrile,Roma Sur,17.5259240,121.7843440,Not specified in source,,7,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0272; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0881,PISOS_SPIS,PISOS,Cagayan,3rd District,Iguig,Sta. Rosa,17.7755030,121.7182820,Not specified in source,,5.5,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0543; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0882,PISOS_SPIS,PISOS,Isabela,1st District,Ilagan City (Capital),Redondo,17.1464800,121.7908630,Not specified in source,,4.5,,,,,PUMP AND ENGINE,PISOS_SPIS,Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0883,PISOS_SPIS,PISOS,Cagayan,3rd District,Amulung,San Vicente,17.7903760,121.7064470,Not specified in source,,4.25,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0543; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0884,PISOS_SPIS,PISOS,Cagayan,3rd District,Tuguegarao City (Capital),Bayo,17.6826580,121.7490940,Not specified in source,,8.931,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0513; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0885,PISOS_SPIS,PISOS,Cagayan,3rd District,Amulung,San Vicente,17.7869460,121.7084280,Not specified in source,,5,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0287; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0886,PISOS_SPIS,PISOS,Cagayan,3rd District,Iguig,San Isidro,17.7728890,121.7052680,Not specified in source,,3.0702,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0539; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0887,PISOS_SPIS,PISOS,Cagayan,3rd District,Amulung,San Vicente,17.7863360,121.7093410,Not specified in source,,4.5,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0538; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0888,PISOS_SPIS,PISOS,Cagayan,3rd District,Iguig,Redondo,17.7244150,121.7350150,Not specified in source,,6.5,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0436; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0889,PISOS_SPIS,PISOS,Cagayan,3rd District,Iguig,Salamague,17.7423520,121.7327640,Not specified in source,,2.6076,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0540; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0890,PISOS_SPIS,PISOS,Cagayan,3rd District,Iguig,Salamague,17.7402550,121.7301530,Not specified in source,,1.5,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0512; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0891,PISOS_SPIS,PISOS,Cagayan,3rd District,Iguig,Malabbac,17.7168850,121.7353670,Not specified in source,,8.9,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0544; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0892,PISOS_SPIS,PISOS,Cagayan,3rd District,Peñablanca,Dodan,17.6402420,121.8011830,Not specified in source,,5.508,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0397; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0893,PISOS_SPIS,PISOS,Cagayan,3rd District,Peñablanca,Dodan,17.6355160,121.8008830,Not specified in source,,6.4102,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0330; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0894,PISOS_SPIS,PISOS,Cagayan,3rd District,Peñablanca,Malibabag,17.6900940,121.7915080,Not specified in source,,5.2,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0693; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0895,PISOS_SPIS,PISOS,Cagayan,3rd District,Peñablanca,Minanga,17.6919200,121.8984020,Not specified in source,,7.7054,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0631; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0896,PISOS_SPIS,PISOS,Cagayan,3rd District,Peñablanca,Nabbabalayan,17.6987330,121.8420480,Not specified in source,,6,,,,,PUMP AND ENGINE,PISOS_SPIS,Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0897,PISOS_SPIS,PISOS,Cagayan,3rd District,Peñablanca,Minanga,17.7161790,121.8902500,Not specified in source,,6.0578,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0630; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0898,PISOS_SPIS,PISOS,Cagayan,3rd District,Peñablanca,Sisim,17.6413500,121.8045300,Not specified in source,,5.7995,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0641; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
IRR-KML-0899,PISOS_SPIS,PISOS,Cagayan,3rd District,Peñablanca,Camasi,17.6305780,121.7702700,Not specified in source,,5.4909,,2018,,,PUMP AND ENGINE,PISOS_SPIS,MOA No.: 18-12-0715; Engine: KUBOTA RK80; Supplier: NORTHERN ASIA SALES CORPORATION
